Id_Sample,AdviceResult,TrueResult,Metric,SendedBy
907,0.0,0.0,VN,IDS 1
908,0.0,0.0,VN,IDS 1
909,0.0,0.0,VN,IDS 3
912,0.0,0.0,VN,IDS 3
913,4.0,0.0,FP,IDS 3
914,0.0,0.0,VN,IDS 3
917,0.0,0.0,VN,IDS 1
919,0.0,0.0,VN,IDS 3
921,0.0,0.0,VN,IDS 3
922,0.0,0.0,VN,IDS 1
828,0.0,0.0,VN,IDS 3
834,0.0,0.0,VN,IDS 1
836,0.0,0.0,VN,IDS 1
839,0.0,0.0,VN,IDS 3
841,1.0,0.0,FP,IDS 3
842,0.0,0.0,VN,IDS 3
843,0.0,0.0,VN,IDS 3
845,0.0,0.0,VN,IDS 3
1176,0.0,0.0,VN,IDS 1
1180,0.0,0.0,VN,IDS 1
1184,0.0,0.0,VN,IDS 1
923,0.0,0.0,VN,IDS 3
924,0.0,0.0,VN,IDS 1
925,0.0,0.0,VN,IDS 3
926,0.0,0.0,VN,IDS 3
927,0.0,0.0,VN,IDS 3
959,0.0,0.0,VN,IDS 3
960,0.0,0.0,VN,IDS 3
961,0.0,0.0,VN,IDS 1
963,0.0,0.0,VN,IDS 3
964,0.0,0.0,VN,IDS 3
965,0.0,0.0,VN,IDS 1
968,0.0,0.0,VN,IDS 1
969,0.0,0.0,VN,IDS 3
970,4.0,0.0,FP,IDS 3
972,0.0,0.0,VN,IDS 3
973,0.0,0.0,VN,IDS 1
974,0.0,0.0,VN,IDS 1
977,0.0,0.0,VN,IDS 1
980,0.0,0.0,VN,IDS 1
981,0.0,0.0,VN,IDS 1
982,0.0,0.0,VN,IDS 1
983,0.0,0.0,VN,IDS 3
984,0.0,0.0,VN,IDS 1
985,0.0,0.0,VN,IDS 1
986,0.0,0.0,VN,IDS 1
988,0.0,0.0,VN,IDS 3
1171,0.0,0.0,VN,IDS 1
1173,0.0,0.0,VN,IDS 3
1174,0.0,0.0,VN,IDS 1
1175,0.0,0.0,VN,IDS 3
1201,0.0,0.0,VN,IDS 3
1202,0.0,0.0,VN,IDS 3
1205,0.0,0.0,VN,IDS 3
1206,4.0,0.0,FP,IDS 3
1208,0.0,0.0,VN,IDS 1
1209,0.0,0.0,VN,IDS 1
1210,0.0,0.0,VN,IDS 3
1211,0.0,0.0,VN,IDS 3
1215,0.0,0.0,VN,IDS 1
1220,0.0,0.0,VN,IDS 3
1221,0.0,0.0,VN,IDS 1
1223,0.0,0.0,VN,IDS 3
1224,0.0,0.0,VN,IDS 3
1225,0.0,0.0,VN,IDS 3
1226,0.0,0.0,VN,IDS 3
1230,0.0,0.0,VN,IDS 1
1231,0.0,0.0,VN,IDS 1
1233,0.0,0.0,VN,IDS 3
1234,1.0,0.0,FP,IDS 1
1235,0.0,0.0,VN,IDS 3
1239,0.0,0.0,VN,IDS 1
1240,0.0,0.0,VN,IDS 1
1241,0.0,0.0,VN,IDS 1
1243,0.0,0.0,VN,IDS 3
1245,0.0,0.0,VN,IDS 3
1246,0.0,0.0,VN,IDS 3
1247,0.0,0.0,VN,IDS 3
1356,0.0,0.0,VN,IDS 1
1359,0.0,0.0,VN,IDS 1
1363,0.0,0.0,VN,IDS 3
1364,0.0,0.0,VN,IDS 1
1365,0.0,0.0,VN,IDS 1
1368,4.0,0.0,FP,IDS 3
1369,0.0,0.0,VN,IDS 3
1370,0.0,0.0,VN,IDS 3
1371,0.0,0.0,VN,IDS 1
1372,0.0,0.0,VN,IDS 1
1373,0.0,0.0,VN,IDS 3
1375,0.0,0.0,VN,IDS 1
1378,0.0,0.0,VN,IDS 3
1379,0.0,0.0,VN,IDS 1
1380,0.0,0.0,VN,IDS 3
1382,0.0,0.0,VN,IDS 1
1383,0.0,0.0,VN,IDS 1
1386,0.0,0.0,VN,IDS 3
1387,0.0,0.0,VN,IDS 3
1391,0.0,0.0,VN,IDS 3
1392,0.0,0.0,VN,IDS 3
1618,0.0,0.0,VN,IDS 1
1619,0.0,0.0,VN,IDS 3
1621,0.0,0.0,VN,IDS 3
1622,0.0,0.0,VN,IDS 3
1624,0.0,0.0,VN,IDS 3
1627,0.0,0.0,VN,IDS 3
1629,0.0,0.0,VN,IDS 3
1631,0.0,0.0,VN,IDS 3
1632,0.0,0.0,VN,IDS 1
1633,0.0,0.0,VN,IDS 1
1635,0.0,0.0,VN,IDS 1
1637,0.0,0.0,VN,IDS 3
1638,0.0,0.0,VN,IDS 1
1639,0.0,0.0,VN,IDS 1
1640,0.0,0.0,VN,IDS 3
1641,0.0,0.0,VN,IDS 3
1644,0.0,0.0,VN,IDS 3
1645,0.0,0.0,VN,IDS 1
1646,0.0,0.0,VN,IDS 3
1647,0.0,0.0,VN,IDS 1
1648,0.0,0.0,VN,IDS 1
1649,0.0,0.0,VN,IDS 3
1653,0.0,0.0,VN,IDS 1
1654,0.0,0.0,VN,IDS 1
1656,0.0,0.0,VN,IDS 1
1659,0.0,0.0,VN,IDS 3
1660,0.0,0.0,VN,IDS 3
1661,0.0,0.0,VN,IDS 3
1662,1.0,0.0,FP,IDS 3
1666,0.0,0.0,VN,IDS 1
1667,0.0,0.0,VN,IDS 3
1668,0.0,0.0,VN,IDS 3
1669,0.0,0.0,VN,IDS 3
1670,1.0,0.0,FP,IDS 3
1671,0.0,0.0,VN,IDS 3
1672,0.0,0.0,VN,IDS 3
1673,0.0,0.0,VN,IDS 3
1675,0.0,0.0,VN,IDS 3
1676,0.0,0.0,VN,IDS 3
1677,0.0,0.0,VN,IDS 1
1678,0.0,0.0,VN,IDS 3
1679,0.0,0.0,VN,IDS 3
1681,0.0,0.0,VN,IDS 3
1683,0.0,0.0,VN,IDS 3
1685,0.0,0.0,VN,IDS 3
1686,0.0,0.0,VN,IDS 3
1688,0.0,0.0,VN,IDS 1
1690,0.0,0.0,VN,IDS 1
1691,0.0,0.0,VN,IDS 1
1692,0.0,0.0,VN,IDS 3
1693,0.0,0.0,VN,IDS 3
1694,0.0,0.0,VN,IDS 3
1695,0.0,0.0,VN,IDS 1
1696,0.0,0.0,VN,IDS 3
1698,0.0,0.0,VN,IDS 1
1702,0.0,0.0,VN,IDS 1
1703,0.0,0.0,VN,IDS 3
1706,0.0,0.0,VN,IDS 3
1707,0.0,0.0,VN,IDS 3
1708,0.0,0.0,VN,IDS 1
1709,0.0,0.0,VN,IDS 3
1710,0.0,0.0,VN,IDS 3
1711,0.0,0.0,VN,IDS 1
1712,0.0,0.0,VN,IDS 3
1713,0.0,0.0,VN,IDS 3
1715,0.0,0.0,VN,IDS 1
1716,0.0,0.0,VN,IDS 3
1719,0.0,0.0,VN,IDS 3
1720,0.0,0.0,VN,IDS 3
1721,0.0,0.0,VN,IDS 3
1722,0.0,0.0,VN,IDS 3
1723,0.0,0.0,VN,IDS 3
1724,4.0,0.0,FP,IDS 3
1726,0.0,0.0,VN,IDS 1
1729,0.0,0.0,VN,IDS 3
1730,0.0,0.0,VN,IDS 1
1732,0.0,0.0,VN,IDS 1
1735,0.0,0.0,VN,IDS 1
1736,0.0,0.0,VN,IDS 3
1737,0.0,0.0,VN,IDS 1
1738,0.0,0.0,VN,IDS 3
1740,0.0,0.0,VN,IDS 1
1741,0.0,0.0,VN,IDS 3
1742,0.0,0.0,VN,IDS 3
1743,0.0,0.0,VN,IDS 3
1744,0.0,0.0,VN,IDS 1
1745,4.0,0.0,FP,IDS 3
1800,0.0,0.0,VN,IDS 1
1803,0.0,0.0,VN,IDS 1
1804,0.0,0.0,VN,IDS 1
1805,0.0,0.0,VN,IDS 1
1809,0.0,0.0,VN,IDS 3
1810,0.0,0.0,VN,IDS 1
1812,0.0,0.0,VN,IDS 3
1813,0.0,0.0,VN,IDS 1
1814,0.0,0.0,VN,IDS 1
1815,0.0,0.0,VN,IDS 3
1817,0.0,0.0,VN,IDS 1
1819,0.0,0.0,VN,IDS 3
1820,0.0,0.0,VN,IDS 3
1821,0.0,0.0,VN,IDS 3
1822,0.0,0.0,VN,IDS 1
1823,0.0,0.0,VN,IDS 1
1824,0.0,0.0,VN,IDS 3
1829,0.0,0.0,VN,IDS 3
1830,0.0,0.0,VN,IDS 3
1834,0.0,0.0,VN,IDS 3
1835,0.0,0.0,VN,IDS 3
1836,0.0,0.0,VN,IDS 3
1837,0.0,0.0,VN,IDS 1
1838,1.0,0.0,FP,IDS 3
1839,0.0,0.0,VN,IDS 1
1840,0.0,0.0,VN,IDS 1
1871,0.0,0.0,VN,IDS 3
1890,0.0,0.0,VN,IDS 1
1891,0.0,0.0,VN,IDS 1
1892,0.0,0.0,VN,IDS 3
1893,0.0,0.0,VN,IDS 1
1873,0.0,0.0,VN,IDS 3
1874,0.0,0.0,VN,IDS 1
1875,0.0,0.0,VN,IDS 3
1876,0.0,0.0,VN,IDS 1
1877,0.0,0.0,VN,IDS 3
1880,0.0,0.0,VN,IDS 3
1884,0.0,0.0,VN,IDS 1
1887,0.0,0.0,VN,IDS 1
1888,0.0,0.0,VN,IDS 1
1889,0.0,0.0,VN,IDS 3
1894,0.0,0.0,VN,IDS 3
1898,0.0,0.0,VN,IDS 1
1900,0.0,0.0,VN,IDS 3
1901,0.0,0.0,VN,IDS 1
1902,0.0,0.0,VN,IDS 1
1904,0.0,0.0,VN,IDS 1
1981,0.0,0.0,VN,IDS 1
1982,0.0,0.0,VN,IDS 3
1984,0.0,0.0,VN,IDS 3
1985,0.0,0.0,VN,IDS 3
1987,1.0,0.0,FP,IDS 3
1988,0.0,0.0,VN,IDS 1
1991,0.0,0.0,VN,IDS 1
1992,0.0,0.0,VN,IDS 1
1993,0.0,0.0,VN,IDS 1
1995,0.0,0.0,VN,IDS 3
1996,0.0,0.0,VN,IDS 3
1997,0.0,0.0,VN,IDS 3
1998,0.0,0.0,VN,IDS 3
1999,0.0,0.0,VN,IDS 1
2000,0.0,0.0,VN,IDS 1
2001,0.0,0.0,VN,IDS 3
2002,0.0,0.0,VN,IDS 1
2003,0.0,0.0,VN,IDS 1
2004,0.0,0.0,VN,IDS 3
2007,0.0,0.0,VN,IDS 3
2008,4.0,0.0,FP,IDS 3
2011,0.0,0.0,VN,IDS 1
2012,0.0,0.0,VN,IDS 1
2014,0.0,0.0,VN,IDS 1
2017,0.0,0.0,VN,IDS 1
2018,0.0,0.0,VN,IDS 1
2019,0.0,0.0,VN,IDS 1
2020,0.0,0.0,VN,IDS 1
2022,0.0,0.0,VN,IDS 3
2025,0.0,0.0,VN,IDS 1
2027,0.0,0.0,VN,IDS 3
2028,0.0,0.0,VN,IDS 1
2031,0.0,0.0,VN,IDS 3
2033,0.0,0.0,VN,IDS 3
2034,0.0,0.0,VN,IDS 1
2035,0.0,0.0,VN,IDS 3
2036,0.0,0.0,VN,IDS 1
2037,0.0,0.0,VN,IDS 3
2038,0.0,0.0,VN,IDS 1
2039,0.0,0.0,VN,IDS 1
2040,0.0,0.0,VN,IDS 3
2042,0.0,0.0,VN,IDS 3
2209,0.0,0.0,VN,IDS 1
2210,0.0,0.0,VN,IDS 1
2214,0.0,0.0,VN,IDS 3
2215,0.0,0.0,VN,IDS 3
2218,0.0,0.0,VN,IDS 1
2219,0.0,0.0,VN,IDS 1
2221,0.0,0.0,VN,IDS 3
2223,0.0,0.0,VN,IDS 3
2227,0.0,0.0,VN,IDS 3
2228,0.0,0.0,VN,IDS 3
2229,0.0,0.0,VN,IDS 3
2231,0.0,0.0,VN,IDS 1
2232,0.0,0.0,VN,IDS 3
2233,1.0,0.0,FP,IDS 1
2234,0.0,0.0,VN,IDS 3
2381,0.0,0.0,VN,IDS 1
2382,0.0,0.0,VN,IDS 3
2383,0.0,0.0,VN,IDS 1
2385,0.0,0.0,VN,IDS 1
2386,0.0,0.0,VN,IDS 1
2435,0.0,0.0,VN,IDS 3
2436,0.0,0.0,VN,IDS 1
2439,0.0,0.0,VN,IDS 3
2440,0.0,0.0,VN,IDS 1
2441,0.0,0.0,VN,IDS 1
2444,0.0,0.0,VN,IDS 1
2448,0.0,0.0,VN,IDS 1
2449,4.0,0.0,FP,IDS 3
2453,1.0,0.0,FP,IDS 1
2454,0.0,0.0,VN,IDS 3
2455,0.0,0.0,VN,IDS 3
2456,0.0,0.0,VN,IDS 3
2235,0.0,0.0,VN,IDS 3
2237,0.0,0.0,VN,IDS 1
2238,0.0,0.0,VN,IDS 3
2239,0.0,0.0,VN,IDS 3
2242,0.0,0.0,VN,IDS 3
2244,0.0,0.0,VN,IDS 1
2281,0.0,0.0,VN,IDS 1
2284,0.0,0.0,VN,IDS 1
2285,0.0,0.0,VN,IDS 3
2286,0.0,0.0,VN,IDS 3
2288,0.0,0.0,VN,IDS 3
2289,0.0,0.0,VN,IDS 3
2290,0.0,0.0,VN,IDS 1
2291,0.0,0.0,VN,IDS 1
2292,0.0,0.0,VN,IDS 3
2293,0.0,0.0,VN,IDS 3
2294,1.0,0.0,FP,IDS 3
2296,0.0,0.0,VN,IDS 3
2297,0.0,0.0,VN,IDS 3
2303,0.0,0.0,VN,IDS 3
2304,0.0,0.0,VN,IDS 3
2305,0.0,0.0,VN,IDS 1
2307,0.0,0.0,VN,IDS 1
2308,0.0,0.0,VN,IDS 1
2310,0.0,0.0,VN,IDS 3
2312,0.0,0.0,VN,IDS 3
2314,0.0,0.0,VN,IDS 1
2353,0.0,0.0,VN,IDS 3
2356,0.0,0.0,VN,IDS 3
2357,0.0,0.0,VN,IDS 3
2359,0.0,0.0,VN,IDS 1
2360,0.0,0.0,VN,IDS 3
2361,0.0,0.0,VN,IDS 1
2363,0.0,0.0,VN,IDS 1
2365,0.0,0.0,VN,IDS 3
2366,0.0,0.0,VN,IDS 1
2368,0.0,0.0,VN,IDS 1
2369,0.0,0.0,VN,IDS 1
2370,0.0,0.0,VN,IDS 3
2373,0.0,0.0,VN,IDS 1
2375,0.0,0.0,VN,IDS 1
2378,0.0,0.0,VN,IDS 3
2380,0.0,0.0,VN,IDS 3
2459,0.0,0.0,VN,IDS 1
2460,0.0,0.0,VN,IDS 3
2462,0.0,0.0,VN,IDS 1
2463,0.0,0.0,VN,IDS 3
2465,0.0,0.0,VN,IDS 3
2467,0.0,0.0,VN,IDS 1
2468,0.0,0.0,VN,IDS 3
2471,0.0,0.0,VN,IDS 1
2472,0.0,0.0,VN,IDS 1
2473,0.0,0.0,VN,IDS 1
2474,0.0,0.0,VN,IDS 3
2476,0.0,0.0,VN,IDS 1
2477,0.0,0.0,VN,IDS 3
2480,0.0,0.0,VN,IDS 3
2481,0.0,0.0,VN,IDS 1
2482,0.0,0.0,VN,IDS 3
2483,0.0,0.0,VN,IDS 3
2484,0.0,0.0,VN,IDS 1
2485,0.0,0.0,VN,IDS 3
2486,0.0,0.0,VN,IDS 3
2487,0.0,0.0,VN,IDS 1
2491,0.0,0.0,VN,IDS 1
2493,0.0,0.0,VN,IDS 3
2494,0.0,0.0,VN,IDS 3
2496,0.0,0.0,VN,IDS 1
2498,0.0,0.0,VN,IDS 3
2500,0.0,0.0,VN,IDS 3
2501,0.0,0.0,VN,IDS 3
2505,0.0,0.0,VN,IDS 1
2506,0.0,0.0,VN,IDS 1
2585,0.0,0.0,VN,IDS 3
2586,0.0,0.0,VN,IDS 3
2587,0.0,0.0,VN,IDS 1
2588,1.0,0.0,FP,IDS 1
2589,0.0,0.0,VN,IDS 1
2590,0.0,0.0,VN,IDS 1
2591,0.0,0.0,VN,IDS 1
2593,0.0,0.0,VN,IDS 1
2594,0.0,0.0,VN,IDS 3
2595,0.0,0.0,VN,IDS 1
2596,0.0,0.0,VN,IDS 3
2597,0.0,0.0,VN,IDS 3
2599,0.0,0.0,VN,IDS 3
2600,4.0,0.0,FP,IDS 3
2601,0.0,0.0,VN,IDS 1
2602,0.0,0.0,VN,IDS 3
2603,0.0,0.0,VN,IDS 1
2604,0.0,0.0,VN,IDS 1
2605,0.0,0.0,VN,IDS 3
2607,0.0,0.0,VN,IDS 3
2507,1.0,0.0,FP,IDS 3
2508,0.0,0.0,VN,IDS 3
2509,0.0,0.0,VN,IDS 1
2510,0.0,0.0,VN,IDS 1
2511,4.0,0.0,FP,IDS 3
2514,0.0,0.0,VN,IDS 1
2515,0.0,0.0,VN,IDS 3
2517,0.0,0.0,VN,IDS 1
2518,0.0,0.0,VN,IDS 1
2519,0.0,0.0,VN,IDS 1
2520,0.0,0.0,VN,IDS 1
2521,0.0,0.0,VN,IDS 1
2524,0.0,0.0,VN,IDS 1
2525,0.0,0.0,VN,IDS 3
2529,0.0,0.0,VN,IDS 3
2530,0.0,0.0,VN,IDS 1
2531,0.0,0.0,VN,IDS 1
2532,0.0,0.0,VN,IDS 3
2534,0.0,0.0,VN,IDS 1
2536,0.0,0.0,VN,IDS 1
2539,0.0,0.0,VN,IDS 3
2540,0.0,0.0,VN,IDS 3
2543,0.0,0.0,VN,IDS 1
2544,1.0,0.0,FP,IDS 1
2545,0.0,0.0,VN,IDS 1
2546,0.0,0.0,VN,IDS 1
2547,0.0,0.0,VN,IDS 1
2584,0.0,0.0,VN,IDS 1
2608,0.0,0.0,VN,IDS 3
2765,0.0,0.0,VN,IDS 3
2767,0.0,0.0,VN,IDS 1
2768,0.0,0.0,VN,IDS 3
2769,0.0,0.0,VN,IDS 1
2770,0.0,0.0,VN,IDS 3
2771,0.0,0.0,VN,IDS 1
2776,0.0,0.0,VN,IDS 1
2777,0.0,0.0,VN,IDS 1
2779,0.0,0.0,VN,IDS 3
2781,0.0,0.0,VN,IDS 3
2782,0.0,0.0,VN,IDS 3
2783,0.0,0.0,VN,IDS 1
2785,1.0,0.0,FP,IDS 3
2786,0.0,0.0,VN,IDS 1
2787,0.0,0.0,VN,IDS 3
2788,0.0,0.0,VN,IDS 3
2789,0.0,0.0,VN,IDS 1
2792,0.0,0.0,VN,IDS 3
2794,0.0,0.0,VN,IDS 3
2795,1.0,0.0,FP,IDS 1
2796,0.0,0.0,VN,IDS 3
2797,0.0,0.0,VN,IDS 3
2798,0.0,0.0,VN,IDS 3
2828,0.0,0.0,VN,IDS 1
2831,0.0,0.0,VN,IDS 1
2833,0.0,0.0,VN,IDS 1
2835,0.0,0.0,VN,IDS 1
2836,0.0,0.0,VN,IDS 1
2837,0.0,0.0,VN,IDS 1
2838,4.0,0.0,FP,IDS 3
2839,0.0,0.0,VN,IDS 3
2840,0.0,0.0,VN,IDS 3
2841,0.0,0.0,VN,IDS 3
2842,0.0,0.0,VN,IDS 1
2970,0.0,0.0,VN,IDS 3
2971,0.0,0.0,VN,IDS 3
2972,0.0,0.0,VN,IDS 3
2973,0.0,0.0,VN,IDS 1
2974,0.0,0.0,VN,IDS 1
2975,0.0,0.0,VN,IDS 1
2976,0.0,0.0,VN,IDS 3
2979,0.0,0.0,VN,IDS 1
2981,0.0,0.0,VN,IDS 1
